top_topic,female,male
1,0.2900232018561485,0.2542372881355932
2,1.1020881670533642,1.271186440677966
3,4.466357308584687,5.423728813559322
4,0.1740139211136891,0.211864406779661
5,1.8561484918793503,0.8050847457627118
6,25.52204176334107,28.093220338983052
7,0.1740139211136891,0.2542372881355932
8,19.19953596287703,17.161016949152543
9,17.865429234338748,11.440677966101696
10,2.4941995359628772,2.711864406779661
11,0.8120649651972158,1.1016949152542372
12,0.5220417633410673,1.3983050847457628
13,0.6380510440835266,0.6779661016949152
14,0.1740139211136891,0.1271186440677966
15,0.5220417633410673,0.3813559322033898
16,0.23201856148491878,0.5084745762711864
17,0.46403712296983757,1.6101694915254237
18,0.8700696055684455,0.8898305084745762
19,0.9280742459396751,1.1864406779661016
20,0.5220417633410673,1.1864406779661016
21,0.580046403712297,0.847457627118644
22,2.8422273781902554,3.559322033898305
23,1.2761020881670533,2.2457627118644066
24,0.46403712296983757,0.5932203389830508
25,16.009280742459396,16.059322033898304
