topic,top_hero,hero_score,top_heroine,heroine_score,topic_keys
topic1,dionysus,0.6686834692955017,persephone,0.7506517767906189,dad mom school house beat kids father home door parents ball mother walks class family bed girls grabs daddy bus
topic3,dionysus,0.846664309501648,athena,0.8559231758117676,time life people beat find world years youre man im good ive make work thought understand made place
topic2,hermes,0.42364373803138733,hera,0.4579959213733673,aint gonna gotta goin man dont doin nothin wanna somethin big thats back good bout mama boy baby outta hit
topic6,hermes,0.48525458574295044,hera,0.49971669912338257,im dont youre thats yeah hes cant back good didnt ill whats hey time gonna thing beat theres
topic7,poseidon,0.624776303768158,persephone,0.6208376884460449,shot camera close film scene script movie jack mrs sid anne cut miss picture stage screen med show audience set
topic5,dionysus,0.762108325958252,persephone,0.7880737781524658,love im shes phone great girl night bed hair music big sex beautiful girls happy people nice kiss party
topic4,poseidon,0.5729297995567322,persephone,0.5886721611022949,sean overlapping nick james postman rose continues gesturing face grunts offscreen david laughing pants peter head boy mate dog telephone
topic23,hermes,0.45960336923599243,hera,0.4683730900287628,fuck shit fucking man gonna yeah fuckin ass hey money gotta huh hell guy goddamn jesus guys give dont dude
topic22,ares,0.7724484801292419,demeter,0.7631044387817383,father god love king man lord good great queen young blood sir men night sword die give day world dear
topic20,ares,0.7355392575263977,demeter,0.6692026257514954,men war sir soldiers army general man colonel day children back fire ext lieutenant people enemy fight int boat soldier
topic21,ares,0.672096312046051,athena,0.6623206734657288,horse back man men snow road water fire tree ground trees town horses gun long side wild hill wind shot
topic19,zeus,0.6284824013710022,persephone,0.6243229508399963,car back door pulls truck window road front phone cars seat gun street drive side police drives sees wheel house
topic25,zeus,0.6807162761688232,hera,0.6980651021003723,back eyes face hand head open turns body pulls light floor hes wall blood hands reaches dark feet suddenly
topic24,apollo,0.5142884850502014,demeter,0.45120954513549805,mrs sir joey mary captain miss scout dear major mister master colonel german bishop ward sharp monte maclean music november
topic18,zeus,0.5084158778190613,persephone,0.5843637585639954,door room house bed phone kitchen bedroom back stairs apartment window living bathroom opens night front floor
topic16,zeus,0.6596367955207825,demeter,0.6135697364807129,sarah computer agent screen data disk jim ludo houston power evil jareth code luc mission baby program control
topic17,zeus,0.7618251442909241,persephone,0.749484121799469,money phone office people hundred dollars thats thousand business job ill good million desk pay call make give ten
topic15,hermes,0.07785777747631073,hera,0.04628415033221245,revision draft tht hve converted pdf pink revised marley bck wht round goldenrod hnd bet
topic14,apollo,0.5466634035110474,demeter,0.5215044021606445,annie hallie page leads close october final sam morris bill office pages marsh john silence lawson board fucking baxter
topic10,zeus,0.7023230195045471,athena,0.6737886667251587,move theyre moves gun radio back air doors room fire moving fires time plane door men open metal inside
topic11,poseidon,0.6439701914787292,demeter,0.649688184261322,beat gun police hes phone kill case killed cops rev dead men car murder cop youre call continuing agent detective
topic13,ares,0.6659927368164062,artemis,0.646297812461853,water master indy sword boat round dragon short runs sees back tree falls beast suddenly top vampires grabs princess final
topic12,ares,0.5575494766235352,athena,0.4919661581516266,ship captain sir crew mccoy planet space star power jedi enterprise bridge deck control ships moves commander boat chewie
topic9,hermes,0.5708229541778564,hera,0.5711228251457214,dont im ill youre thats cant didnt good ive time back love whats hes wont id make pause home
topic8,zeus,0.6693069338798523,persephone,0.6967206597328186,door back turns takes room walks sits starts smiles hand table head face moment stands eyes opens puts hands stops
