topic,top_archetype,score,topic_keys
topic1,orphan,0.7366676330566406,dad mom school house beat kids father home door parents ball mother walks class family bed girls grabs daddy bus
topic3,orphan,0.8195527195930481,time life people beat find world years youre man im good ive make work thought understand made place
topic2,innocent,0.40476110577583313,aint gonna gotta goin man dont doin nothin wanna somethin big thats back good bout mama boy baby outta hit
topic6,jester,0.4273286759853363,im dont youre thats yeah hes cant back good didnt ill whats hey time gonna thing beat theres
topic7,orphan,0.6853660941123962,shot camera close film scene script movie jack mrs sid anne cut miss picture stage screen med show audience set
topic5,orphan,0.7694517970085144,love im shes phone great girl night bed hair music big sex beautiful girls happy people nice kiss party
topic4,orphan,0.6078628897666931,sean overlapping nick james postman rose continues gesturing face grunts offscreen david laughing pants peter head boy mate dog telephone
topic23,jester,0.4742024540901184,fuck shit fucking man gonna yeah fuckin ass hey money gotta huh hell guy goddamn jesus guys give dont dude
topic22,orphan,0.7855667471885681,father god love king man lord good great queen young blood sir men night sword die give day world dear
topic20,rebel,0.6632196307182312,men war sir soldiers army general man colonel day children back fire ext lieutenant people enemy fight int boat soldier
topic21,orphan,0.670400083065033,horse back man men snow road water fire tree ground trees town horses gun long side wild hill wind shot
topic19,orphan,0.6353397965431213,car back door pulls truck window road front phone cars seat gun street drive side police drives sees wheel house
topic25,orphan,0.7053118944168091,back eyes face hand head open turns body pulls light floor hes wall blood hands reaches dark feet suddenly
topic24,ruler,0.5706610083580017,mrs sir joey mary captain miss scout dear major mister master colonel german bishop ward sharp monte maclean music november
topic18,orphan,0.6045821309089661,door room house bed phone kitchen bedroom back stairs apartment window living bathroom opens night front floor
topic16,ruler,0.6653619408607483,sarah computer agent screen data disk jim ludo houston power evil jareth code luc mission baby program control
topic17,orphan,0.7136132121086121,money phone office people hundred dollars thats thousand business job ill good million desk pay call make give ten
topic15,jester,0.07434087246656418,revision draft tht hve converted pdf pink revised marley bck wht round goldenrod hnd bet
topic14,orphan,0.5505246520042419,annie hallie page leads close october final sam morris bill office pages marsh john silence lawson board fucking baxter
topic10,rebel,0.6817474961280823,move theyre moves gun radio back air doors room fire moving fires time plane door men open metal inside
topic11,rebel,0.6296891570091248,beat gun police hes phone kill case killed cops rev dead men car murder cop youre call continuing agent detective
topic13,hero,0.6710103154182434,water master indy sword boat round dragon short runs sees back tree falls beast suddenly top vampires grabs princess final
topic12,ruler,0.5713202357292175,ship captain sir crew mccoy planet space star power jedi enterprise bridge deck control ships moves commander boat chewie
topic9,jester,0.5155324935913086,dont im ill youre thats cant didnt good ive time back love whats hes wont id make pause home
topic8,orphan,0.7075633406639099,door back turns takes room walks sits starts smiles hand table head face moment stands eyes opens puts hands stops
